caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-EJ-7325-01,1291.61,1409.89,238.098,210.889,2075.72
TCGA-EJ-7327-01,1862.43,1006.38,1182.44,188.525,913.176
TCGA-EJ-7328-01,4128.67,1302.11,1067.98,519.229,740.486
TCGA-EJ-7330-01,2264.4,949.453,1270.94,248.91,865.76
TCGA-EJ-7331-01,3243.37,888.889,1211.59,270.424,728.729
TCGA-EJ-7781-01,1332.34,902.256,845.917,237.659,864.008
TCGA-EJ-7782-01,2003.85,875.964,1241.79,283.086,968.546
TCGA-EJ-7783-01,3704.78,1035.78,1099.57,246.281,686.961
TCGA-EJ-7784-01,759.001,1009.28,928.809,137.686,878.713
TCGA-EJ-7785-01,3376.7,950.042,1052.6,359.978,676.658
TCGA-EJ-7786-01,2521.88,911.775,1008.44,179.296,1030.95
TCGA-EJ-7788-01,2620.21,1017.18,1033.45,180.98,838.541999999999
TCGA-EJ-7789-01,1545.89,958.926,2056.56,100.18,624.002
TCGA-EJ-7791-01,3790.82,950.208000000001,1367.01,349.93,927.513000000001
TCGA-EJ-7792-01,4944.41,1021.59,965.273,430.487,876.022
TCGA-EJ-7793-01,1746.49,974.369,845.966,195.584,1019.72
TCGA-EJ-7794-01,2322.64,822.279,782.039,325.155,874.42
TCGA-EJ-7797-01,2219.25,1244.53,769.668,309.273,1097.16
TCGA-EJ-8468-01,2338.28,1162.12,1312.37,195.667,924.528
TCGA-EJ-8469-01,1195.8,1157.2,1355.74,158.422,1052.66
TCGA-EJ-8470-01,1137.05,1278.38,945.989,266.011,1081.48
TCGA-EJ-8472-01,1512.17,1612.06,1337.78,245.299,492.97
TCGA-EJ-8474-01,3188.94,1130.98,800.635,207.137,637.946
TCGA-EJ-A46B-01,2226.41,961.003,981.616000000001,319.777,1188.86
TCGA-EJ-A46D-01,2338.12,1125.87,800.74,263.403,1253.5
TCGA-EJ-A46E-01,2791.26,1221.4,1091.99,483.21,901.537
TCGA-EJ-A46F-01,532.503,2045.67,518.964,203.636,888.436
TCGA-EJ-A46G-01,2595.65,1214.13,1122.8,352.717,716.848
TCGA-EJ-A46H-01,8342.38,1077.14,1566.59,537.143,753.333
TCGA-EJ-A46I-01,1580.9,953.423,976.425,391.03,894.768
