caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-G9-6356-01,3925.4739,1105.0628,1069.9924,512.7522,989.3415
TCGA-G9-6361-01,6570.392,1168.8627,1081.5294,409.6678,780.2118
TCGA-G9-6363-01,2994.8613,821.1716,971.11,244.6043,1422.4049
TCGA-G9-6364-01,3163.4914,827.6473,888.7683,304.8294,915.8175
TCGA-G9-6365-01,3631.4862,1253.4531,1005.7453,627.0694,1062.1438
TCGA-G9-6377-01,2239.1304,1083.5832,760.6072,772.1139,949.7751
TCGA-G9-6384-01,2254.8199,1162.9722,848.3069,316.0763,783.5629
TCGA-G9-6385-01,2544.1791,949.0446,989.0092,305.3786,1182.2364
TCGA-G9-7522-01,4282.213,1127.5857,1037.6482,322.921,1183.9511
TCGA-HC-7081-01,6442.2486,982.6647,1470.9807,388.8063,731.055
TCGA-HC-7211-01,1149.8083,856.9743,1070.7549,373.6361,1008.8469
TCGA-HC-7212-01,1852.1818,688.0588,1247.5962,186.0048,777.7227
TCGA-HC-7213-01,2286.5491,1019.5869,1666.9444,356.4815,1037.037
TCGA-HC-7230-01,1454.7757,1100.1263,874.1819,116.5509,971.2571
TCGA-HC-7231-01,2253.4395,986.966,1039.3085,308.8342,1069.1528
TCGA-HC-7232-01,2489.0577,1391.0315,1392.6336,308.2005,997.6051
TCGA-HC-7744-01,1836.8149,1275.4982,980.7485,397.8718,1140.5898
TCGA-HC-7747-01,2257.0248,1008.6777,899.4421,459.5041,1302.0661
TCGA-HC-7818-01,2221.297,1003.3003,1073.2277,448.5149,1053.7954
TCGA-HC-7820-01,1215.7966,919.6646,881.7203,195.4738,724.9121
TCGA-HC-7821-01,2179.4046,1124.0889,963.4601,198.4719,884.8687
TCGA-HC-8213-01,1379.891,1153.5414,501.2382,179.2967,952.4517
TCGA-HC-8262-01,1580.6491,1112.8321,915.2386,201.5857,1239.4398
TCGA-HC-A48F-01,1012.5311,1436.9295,738.1369,184.6473,1106.639
TCGA-HC-A632-01,2952.9092,1514.4778,1145.1366,224.1552,895.0605
TCGA-HC-A76X-01,1184.8086,1210.5263,806.7913,147.1292,1170.4545
TCGA-HC-A8D0-01,3178.7434,1540.0351,923.7288,378.7259,939.2168
TCGA-HC-A8D1-01,3177.1108,1063.3733,843.3034,286.4271,800.3992
TCGA-HI-7171-01,2264.2493,1093.646,900.5132,128.1297,561.8169
TCGA-J4-A67T-01,1449.0103,1113.9674,798.4533,742.5021,1218.9374
TCGA-J4-A6G1-01,4371.038,1425.9508,1063.0515,518.5682,1006.264
TCGA-J4-A6M7-01,2498.0394,1254.2765,785.4884,216.0163,994.6205
TCGA-J4-A83I-01,1541.0392,1120.4603,1171.1183,343.7612,1061.8483
TCGA-J4-A83K-01,1632.4749,1234.3955,979.6281,385.5085,941.7722
TCGA-J9-A52B-01,2388.5172,1092.56,1005.384,277.0801,665.5007
TCGA-J9-A8CK-01,4170.0344,1455.7979,908.9323,465.2124,918.0253
TCGA-J9-A8CM-01,5195.743,1406.3817,1096.4451,249.3156,1004.9506
TCGA-KC-A4BR-01,6362.424,1153.5171,847.6426,763.308,756.1787
TCGA-KC-A7F6-01,2922.3706,1562.5588,897.5024,754.4685,1066.7921
TCGA-KK-A59Y-01,1179.4712,1064.711,934.9356,488.1766,1079.0692
TCGA-KK-A6E1-01,1049.1727,690.501,1561.032,404.952,1366.1923
